ms,mode,state,left_pwm,right_pwm,accepted
1000,line,following,90,90,1
1100,line,following,40,90,1
1200,line,following,0,90,1
1300,line,obstacle,0,0,1
1400,line,clear_wait,0,0,1
1500,line,clear_wait,0,0,1
1600,line,clear_wait,0,0,1
1700,line,clear_wait,0,0,1
1800,line,clear_wait,0,0,1
1900,line,clear_wait,0,0,1
2000,line,clear_wait,0,0,1
2100,line,following,90,90,1
2200,line,line_lost,0,0,1
2300,line,following,90,40,1
2400,line,line_lost,0,0,1
2500,line,line_lost,0,0,1
2600,line,line_lost,0,0,1
2700,line,line_lost,0,0,1
2800,idle,line_lost,0,0,1
2900,idle,line_lost,0,0,1
3000,line,following,90,90,1
3100,idle,sensor_fault,0,0,1
3200,idle,sensor_fault,0,0,1
3300,manual,manual,0,0,1
3400,manual,manual,80,80,1
3500,manual,manual,80,80,1
3750,idle,remote_timeout,0,0,1
3900,line,following,90,90,1
4000,idle,low_battery,0,0,1
4100,idle,low_battery,0,0,1
4200,idle,stopped,0,0,1
