ms,line,range_mm,range_valid,battery_mv,command,left,right,expected_state,expected_left,expected_right
1000,2,800,1,7400,arm_line,0,0,following,90,90
1100,6,800,1,7400,none,0,0,following,40,90
1200,4,800,1,7400,none,0,0,following,0,90
1300,2,200,1,7400,ping,0,0,obstacle,0,0
1400,2,250,1,7400,none,0,0,clear_wait,0,0
1500,2,400,1,7400,ping,0,0,clear_wait,0,0
1600,2,400,1,7400,none,0,0,clear_wait,0,0
1700,2,400,1,7400,none,0,0,clear_wait,0,0
1800,2,400,1,7400,ping,0,0,clear_wait,0,0
1900,2,400,1,7400,none,0,0,clear_wait,0,0
2000,2,400,1,7400,none,0,0,clear_wait,0,0
2100,2,400,1,7400,ping,0,0,following,90,90
2200,0,800,1,7400,none,0,0,line_lost,0,0
2300,3,800,1,7400,none,0,0,following,90,40
2400,0,800,1,7400,ping,0,0,line_lost,0,0
2500,0,800,1,7400,none,0,0,line_lost,0,0
2600,0,800,1,7400,none,0,0,line_lost,0,0
2700,0,800,1,7400,ping,0,0,line_lost,0,0
2800,0,800,1,7400,none,0,0,line_lost,0,0
2900,2,800,1,7400,none,0,0,line_lost,0,0
3000,2,800,1,7400,arm_line,0,0,following,90,90
3100,2,0,0,7400,none,0,0,sensor_fault,0,0
3200,2,800,1,7400,none,0,0,sensor_fault,0,0
3300,2,800,1,7400,arm_manual,0,0,manual,0,0
3400,2,800,1,7400,drive,80,80,manual,80,80
3500,2,800,1,7400,ping,0,0,manual,80,80
3750,2,800,1,7400,none,0,0,remote_timeout,0,0
3900,2,800,1,7400,arm_line,0,0,following,90,90
4000,2,800,1,6500,none,0,0,low_battery,0,0
4100,2,800,1,7400,none,0,0,low_battery,0,0
4200,2,800,1,7400,stop,0,0,stopped,0,0
